State,County,City,Name,RegionID
MD,Baltimore City,Baltimore,Arlington,10171
MD,Baltimore City,Baltimore,Loch Raven,22505
MD,Baltimore City,Baltimore,Curtis Bay,31145
MD,Baltimore City,Baltimore,Waverly,48366
MD,Baltimore City,Baltimore,Walbrook,43748
MD,Baltimore City,Baltimore,Beverly Hills,156658
MD,Wicomico,Salisbury,Camden Avenue,157149
MD,Baltimore City,Baltimore,Cedonia,157365
MD,Worcester,Ocean City,West Ocean City,34753
MD,Baltimore City,Baltimore,Charles Village,157423
MD,Baltimore City,Baltimore,Edmondson Village,158273
MD,Baltimore City,Baltimore,Cherry Hill,157467
MD,Montgomery,Rockville,Croydon Park,157910
MD,Baltimore City,Baltimore,Dickeyville,158067
MD,Baltimore City,Baltimore,Forest Park,158580
MD,Worcester,Ocean City,North Ocean City,6230
MD,Allegany,Cumberland,Westside,132645
MD,Montgomery,Bethesda,Alta Vista,156208
MD,Baltimore City,Baltimore,Canton,157180
MD,Baltimore City,Baltimore,Cedarcroft,157347
MD,Baltimore City,Baltimore,Howard Park,159670
MD,Baltimore City,Baltimore,Irvington,159820
MD,Baltimore City,Baltimore,Kenilworth Park,159951
MD,Baltimore City,Baltimore,Evergreen,158373
MD,Baltimore City,Baltimore,Hunting Ridge,159728
MD,Montgomery,Rockville,Montrose,160879
MD,Baltimore City,Baltimore,Morrell Park,160898
MD,Baltimore City,Baltimore,Mount Vernon,160965
MD,Baltimore City,Baltimore,O'Donnell Heights,161231
MD,Baltimore City,Baltimore,Guilford,159130
MD,Baltimore City,Baltimore,Idlewood,159773
MD,Baltimore City,Baltimore,Lauraville,160182
MD,Baltimore City,Baltimore,Pimlico Good Neighbors,161629
MD,Baltimore City,Baltimore,Morgan Park,160889
MD,Baltimore City,Baltimore,Mount Winans,160973
MD,Baltimore City,Baltimore,Orangeville,161389
MD,Baltimore City,Baltimore,Ramblewood,161940
MD,Baltimore City,Baltimore,Ten Hills,163146
MD,Baltimore City,Baltimore,Violetville,163581
MD,Baltimore City,Baltimore,West Arlington,163742
MD,Montgomery,Bethesda,Westgate,163803
MD,Baltimore City,Baltimore,Westport,163817
MD,Montgomery,Bethesda,Woodmont Triangle,164119
MD,Baltimore City,Baltimore,Armistead Gardens,156305
MD,Baltimore City,Baltimore,Baltimore Highlands,156432
MD,Baltimore City,Baltimore,Coldspring,157677
MD,Baltimore City,Baltimore,Fallstaff,158452
MD,Baltimore City,Baltimore,Fells Point,158479
MD,Baltimore City,Baltimore,Highlandtown,159490
MD,Baltimore City,Baltimore,Homeland,159624
MD,Baltimore City,Baltimore,Lakeland,160124
MD,Baltimore City,Baltimore,Little Italy,160315
MD,Montgomery,Rockville,Potomac Woods,161828
MD,Baltimore City,Baltimore,West Hills,163763
MD,Montgomery,Rockville,Woodley Gardens,164114
MD,Baltimore City,Baltimore,Broadway East,269770
MD,Baltimore City,Baltimore,Broening Manor,269771
MD,Baltimore City,Baltimore,Burleith-Leighton,269772
MD,Baltimore City,Baltimore,Orchard Ridge,269786
MD,Baltimore City,Baltimore,Clifton Park,269787
MD,Baltimore City,Baltimore,East Arlington,269802
MD,Baltimore City,Baltimore,East Baltimore Midway,269803
MD,Baltimore City,Baltimore,Easterwood,269804
MD,Baltimore City,Baltimore,Eastwood,269805
MD,Baltimore City,Baltimore,Ednor Gardens-Lakeside,269806
MD,Baltimore City,Baltimore,Greektown,269819
MD,Baltimore City,Baltimore,Greenmount Cemetary,269820
MD,Baltimore City,Baltimore,Greenmount West,269821
MD,Baltimore City,Baltimore,Grove Park,269822
MD,Baltimore City,Baltimore,Inner Harbor,269836
MD,Baltimore City,Baltimore,Johns Hopkins Homewood,269837
MD,Baltimore City,Baltimore,Johnston Square,269838
MD,Baltimore City,Baltimore,Jones Falls Area,269839
MD,Baltimore City,Baltimore,Madison Park,269853
MD,Baltimore City,Baltimore,McElderry Park,269856
MD,Baltimore City,Baltimore,Mt Pleasant Park,269869
MD,Baltimore City,Baltimore,New Northwood,269870
MD,Baltimore City,Baltimore,North Harford Road,269871
MD,Baltimore City,Baltimore,Perkins Homes,269887
MD,Baltimore City,Baltimore,Perring Loch,269888
MD,Baltimore City,Baltimore,Sabina-Mattfeldt,269903
MD,Baltimore City,Baltimore,Saint Agnes,269904
MD,Baltimore City,Baltimore,Saint Josephs,269905
MD,Baltimore City,Baltimore,Rognel Heights,162217
MD,Baltimore City,Baltimore,West Forest Park,163753
MD,Montgomery,Rockville,Lincoln Park,192586
MD,Baltimore City,Baltimore,Bellona-Gittings,269761
MD,Baltimore City,Baltimore,Better Waverly,269763
MD,Baltimore City,Baltimore,Biddle Street,269764
MD,Baltimore City,Baltimore,Carrollton Ridge,269779
MD,Baltimore City,Baltimore,Cedmont,269780
MD,Baltimore City,Baltimore,Cylburn,269794
MD,Baltimore City,Baltimore,Darley Park,269795
MD,Baltimore City,Baltimore,Dolfield,269796
